Index	UMB	Taxa	Assembly
1	UMB0490	Dermabacter hominis	GCA_002847685.2
2	UMB0064	Alloscardovia omnicolens	GCA_002847765.1
3	UMB1298	Kytococcus schroeteri	GCA_002847825.1
4	UMB0085	Lactobacillus crispatus	GCA_002861815.1
5	UMB0386	Gardnerella vaginalis	GCA_002861965.1
6	UMB0388	Limosilactobacillus portuensis	GCA_002871555.1
7	UMB0411	Gardnerella leopoldii	GCA_002871635.1
8	UMB0089	Bifidobacterium breve	GCA_002871815.1
9	UMB0049	Streptococcus agalactiae	GCA_002884585.1
10	UMB0663	Gardnerella piotii	GCA_002884815.1
11	UMB0088	Aerococcus loyolae	GCA_002884955.3
12	UMB0683	Limosilactobacillus pontis	GCA_002940945.1
13	UMB3669	Aerococcus tenax	GCA_003286645.3
14	UMB0574	Aerococcus urinae	GCA_003286795.2
15	UMB0607	Lactobacillus gasseri	GCA_007785995.1
16	UMB0637	Aerococcus mictus	GCA_008726885.1
17	UMB0572	Lactobacillus jensenii	GCA_008727025.1
18	UMB0248	Streptococcus anginosus	GCA_008727075.1
19	UMB0639	Lactobacillus mulieris	GCA_008728115.1
20	UMB0613	Lactobacillus gasseri	GCA_030218505.1
21	UMB0725	Lactobacillus paragasseri	GCA_030218525.1
22	UMB0612	Streptococcus oralis	GCA_030218565.1
23	UMB0029	Streptococcus mitis	GCA_030218815.1
24	UMB0016	Bifidobacterium dentium	GCA_030218925.1
25	UMB2445	Globicatella sanguinis	GCA_030222485.2
26	UMB0026	Staphylococcus warneri	GCA_030225245.1
27	UMB0025	Staphylococcus epidermidis	GCA_030225265.1
28	UMB0734	Lactobacillus iners	GCA_030226495.1
29	UMB0005	Lactobacillus delbrueckii	GCA_030226535.1
30	UMB0036	Enterococcus faecalis	GCA_030230945.1
31	UMB0434	Micrococcus luteus	GCA_019890915.1
